0.810487f, 0.434875f, 0.139587f,
0.746854f, 0.423002f, 0.162775f,
0.683221f, 0.411129f, 0.185963f,
0.86908f, 0.411129f, 0.113336f,
0.77615f, 0.411129f, 0.14965f,
0.683221f, 0.411129f, 0.185963f,
0.86908f, 0.411129f, 0.113336f,
0.902097f, 0.434875f, 0.106702f,
0.935113f, 0.458621f, 0.100068f,
0.751893f, 0.458621f, 0.165838f,
0.843503f, 0.458621f, 0.132953f,
0.935113f, 0.458621f, 0.100068f,
0.935113f, 0.458621f, 0.100068f,
0.902097f, 0.434875f, 0.106702f,
0.86908f, 0.411129f, 0.113336f,
1.003611f, 0.434875f, 0.086935f,
0.936346f, 0.423002f, 0.100135f,
0.86908f, 0.411129f, 0.113336f,
1.072108f, 0.411129f, 0.073801f,
0.970594f, 0.411129f, 0.093569f,
0.86908f, 0.411129f, 0.113336f,
1.072108f, 0.411129f, 0.073801f,
1.108541f, 0.434875f, 0.071454f,
1.144973f, 0.458621f, 0.069107f,
0.935113f, 0.458621f, 0.100068f,
1.040043f, 0.458621f, 0.084588f,
1.144973f, 0.458621f, 0.069107f,
1.144973f, 0.458621f, 0.069107f,
1.108541f, 0.434875f, 0.071454f,
1.072108f, 0.411129f, 0.073801f,
1.193194f, 0.411129f, 0.082057f,
1.132651f, 0.411129f, 0.077929f,
1.072108f, 0.411129f, 0.073801f,
-0.020505f, 0.458621f, 0.017308f,
0.075546f, 0.482367f, 0.082088f,
0.171597f, 0.506112f, 0.146867f,
-0.010699f, 0.482367f, 0.016691f,
0.080449f, 0.49424f, 0.081779f,
0.171597f, 0.506112f, 0.146867f,
-0.000894f, 0.506112f, 0.016075f,
0.085352f, 0.506112f, 0.081471f,
0.171597f, 0.506112f, 0.146867f,
0.171597f, 0.506112f, 0.146867f,
0.075546f, 0.482367f, 0.082088f,
-0.020505f, 0.458621f, 0.017308f,
0.247756f, 0.482367f, 0.181098f,
0.113625f, 0.470494f, 0.099203f,
-0.020505f, 0.458621f, 0.017308f,
0.323914f, 0.458621f, 0.215328f,
0.151705f, 0.458621f, 0.116318f,
-0.020505f, 0.458621f, 0.017308f,
0.323914f, 0.458621f, 0.215328f,
0.38062f, 0.482367f, 0.230307f,
0.437326f, 0.506112f, 0.245285f,
0.171597f, 0.506112f, 0.146867f,
